[2019-07-27 02:07:47] [ErrorNO=>8, ErrroStr=>Undefined variable: controller1 , ErrorFile=>D:\inetpub\wwwroot\flydocstest\QUEUE_MVC\framework\core\Autoloader.php , ErrorLine=>112]
[2019-08-04 02:08:56] [ErrorNO=>2, ErrroStr=>Use of undefined constant this - assumed 'this' (this will throw an Error in a future version of PHP) , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\views\home\homeview.php , ErrorLine=>3]
[2019-08-04 02:08:39] [ErrorNO=>8, ErrroStr=>Undefined property: loginController::$params , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\controllers\login\loginController.php , ErrorLine=>6]
[2019-08-04 02:08:01] [ErrorNO=>4096, ErrroStr=>Object of class loginController could not be converted to string , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Autoloader.php , ErrorLine=>113]
[2019-08-04 02:08:19] [ErrorNO=>4096, ErrroStr=>Object of class loginController could not be converted to string , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Autoloader.php , ErrorLine=>113]
[2019-08-04 03:08:21] [ErrorNO=>2, ErrroStr=>include_once(vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-04 03:08:21] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-04 03:08:06] [ErrorNO=>2, ErrroStr=>include_once(../vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-04 03:08:06] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening '../vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-04 03:08:56] [ErrorNO=>2, ErrroStr=>include_once(../vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 03:08:56] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening '../vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 03:08:01] [ErrorNO=>2, ErrroStr=>include_once(../vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 03:08:01] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening '../vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 03:08:56] [ErrorNO=>2, ErrroStr=>include_once(C:/xampp/htdocsdev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 03:08:56] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:/xampp/htdocsdev/custom/Database/vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 04:08:22] [ErrorNO=>2, ErrroStr=>include_once(C:/xampp/htdocsdev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 04:08:22] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:/xampp/htdocsdev/custom/Database/vendor/autoload.php' for inclusion (include_path='C:\xampp\php\PEAR;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>4]
[2019-08-04 04:08:38] [ErrorNO=>8, ErrroStr=>Undefined variable: config , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>40]
[2019-08-04 04:08:36] [ErrorNO=>8, ErrroStr=>Undefined variable: config , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>40]
[2019-08-04 04:08:59] [ErrorNO=>8, ErrroStr=>Undefined variable: config , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>41]
[2019-08-04 04:08:21] [ErrorNO=>8, ErrroStr=>Undefined variable: config , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>17]
[2019-08-04 04:08:21] [ErrorNO=>8, ErrroStr=>Undefined variable: config , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Model.php , ErrorLine=>43]
[2019-08-04 04:08:11] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>6]
[2019-08-04 04:08:11] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$ , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>6]
[2019-08-04 04:08:24] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:24] [ErrorNO=>8, ErrroStr=>Undefined variable: name , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:39] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:39] [ErrorNO=>8, ErrroStr=>Undefined variable: name , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: name , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:09] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:17] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:27] [ErrorNO=>4096, ErrroStr=>Object of class Doctrine\DBAL\Driver\PDOStatement could not be converted to string , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:27] [ErrorNO=>8, ErrroStr=>Object of class Doctrine\DBAL\Driver\PDOStatement could not be converted to int , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>8]
[2019-08-04 05:08:00] [ErrorNO=>8, ErrroStr=>Undefined variable: countVal , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>9]
[2019-08-04 05:08:21] [ErrorNO=>8, ErrroStr=>Undefined variable: countVal , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>9]
[2019-08-04 05:08:12] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\controllers\login\loginController.php , ErrorLine=>6]
[2019-08-04 05:08:37] [ErrorNO=>2, ErrroStr=>implode(): Invalid arguments passed , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Autoloader.php , ErrorLine=>115]
[2019-08-06 04:08:38] [ErrorNO=>2, ErrroStr=>include_once(C:/wamp/www/dev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-06 04:08:38] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:/wamp/www/dev/custom/Database/vendor/autoload.php' for inclusion (include_path='.;C:\php\pear;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-06 05:08:55] [ErrorNO=>8, ErrroStr=>Undefined variable: cnt , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>5]
[2019-08-07 05:08:51] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-07 05:08:51] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-07 05:08:17] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-09 11:08:57] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-09 11:08:57] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-09 11:08:52] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-09 11:08:24] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-10 11:08:40] [ErrorNO=>2, ErrroStr=>include_once(C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-10 11:08:40] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php' for inclusion (include_path='.;C:\Program Files (x86)\Zend\ZendServer\share\ZendFramework\library;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
